Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Colonna 9
"-1,003876510372","4,0473596756643","10,377617760425","3,0428230338102","9,9152384407197","4,4221144149775","1,3375672124563",1
"-0,470518654081","3,0415919600748","3,32194976251","0,5115403098644","0,2163799807004","0,7156069231569","-1,595929568393",5
"-3,351319735834","2,8010248543231","1,7842956704522","-0,556320217393","1,8095360479545","-0,328108806682","0,3208041240514",10
"-3,469728778697","2,4731171963417","0,6263330306784","-1,424706841112","-0,150373012902","-1,107120672303","0,0616003988183",10
"-0,465453390674","2,5666297597103","-0,479546401112","1,1530820353605","-0,586945241674","0,031257584379","-0,47321888168",11
"-0,45224087706","2,7827532729943","-0,091581954536","0,9773990938133","0,3728955292406","0,6982055159783","0,2078647215573",11
"-1,739260939881","2,5125614414035","-0,183330837231","0,1047267736027","-0,469009575721","-0,163977901889","-0,413275684631",10
"-2,335966805833","2,5100738714179","-0,105558481104","-0,576967279864","-0,412997837884","-0,220949847826","0,0635891949149",10
"-2,571815236641","2,4810652410064","-0,101219901023","-0,469916420166","-0,472662855342","-0,126270097549","-0,25361428944",10
"-0,547097370133","2,6015753621948","-0,605668538961","0,6174635822633","-0,560833323308","0,1734647333187","0,0443449375457",11
"0,3966469231321","2,7680460169824","-0,806637259931","0,9574694197913","-0,539897976553","0,2107941719967","0,2185534115588",11
"0,3475590426476","2,7432880501014","-0,775047913386","1,0185390147395","-0,530519328825","0,17337898217","0,0733554245211",11
"-0,013217969878","2,6659693716412","-0,756354801083","1,077882434747","-0,59051512066","0,2668741640138","-0,182645230151",11
"0,0537243716361","2,7079549219928","-0,78281784578","0,6989037764061","-0,542392411142","0,2360476366088","0,4711666731466",11
"0,2045788597203","2,6981779622508","-0,79336620586","1,0018720217257","-0,587251866205","0,2796724269847","0,0938113720602",11
"-1,756191031207","2,5645428929532","-0,335710643488","-0,104678051407","-0,511416565943","0,0148513859521","0,0369284013561",10
"0,086098095268","2,6917719825953","-0,815071094641","1,0675324948802","-0,612058811033","0,3413620207937","-0,061183507253",11
"-0,113878547509","2,6254708537392","-0,840375682128","1,1414577263011","-0,683116620075","0,478239186088","-0,202534556499",11
"-0,294135193715","2,6934015939815","-0,802663184486","0,768501007185","-0,633794989031","0,403756489341","0,1573948680513",11
"0,6779064859061","2,8687114035941","-0,879782341049","0,5957454516815","-0,497815316493","0,2066853336214","0,9762984557423",11
"0,5946030284877","2,8412441882059","-0,86794024874","0,6597660757051","-0,503081750379","0,2108718666432","0,8287205589008",11
"0,9763282192887","2,8281436444182","-0,964859699308","1,1556063603238","-0,568281361676","0,345814647072","0,3600490339875",11
"1,0026265334849","2,7214319817285","-1,030300463604","1,8167817363298","-0,710996676717","0,5805765281201","-0,530102314038",11
"-0,830302480253","2,6167574509855","-0,584315820819","0,5607920360344","-0,602858163074","0,2686447103348","-0,240027723311",11
"-0,350012312252","2,5865895116512","-0,773662262181","0,9988863659926","-0,700904995551","0,4853484534578","-0,228826690027",11
"-1,728621644961","2,5119059610569","-0,393576830192","0,0976987329677","-0,556397082558","0,1135387152125","-0,099983921921",10
"-2,070842695335","2,5442041369319","-0,227143092492","-0,349991819463","-0,465062346538","-0,105080378953","0,1065841977973",10
"0,3391026888217","2,7956753707049","-0,784370000486","0,7080931763848","-0,578289340947","0,2379862265173","0,5824655297405",11
"0,5530276542475","2,8382277299444","-0,784048519561","0,8633957937157","-0,469678292395","0,0813942683643","0,3678768846063",11
"-2,251710400453","2,5726778603112","-0,015373022783","-0,452335881164","-0,364686083033","-0,405151558423","-0,209722363737",10
"-3,67975479552","2,4379047371022","0,3429303383478","-1,413121965385","-0,259654312942","-0,664731425662","-0,020644802134",10
"-4,137690894418","2,4602695888346","0,51361878218","-1,915245469754","-0,177297959123","-0,861748513205","0,2027220411224",10
"-0,172736755383","2,7314345745934","-0,790412700736","0,5874774052662","-0,574934606752","0,3072313867695","0,4879164784357",11
"-0,018462294601","2,6832893049868","-0,770962846795","1,0826947325486","-0,601512386042","0,2922377547238","-0,187983159364",11
"-2,172744813808","2,5332214392264","-0,195680513957","-0,420276966441","-0,463733485933","-0,122580299991","0,1233837147508",10
"0,1183877322781","2,7318179722793","-0,764855395793","0,9139691689934","-0,569741154229","0,2325308079268","0,1271000428314",11
"-1,99291056272","2,5405389102528","-0,204201305627","-0,126749189601","-0,461947868934","-0,147764901015","-0,22934605821",10
"-2,852267796512","2,678223527851","0,6437721572778","-0,525743703386","0,6035781087935","0,0408986952188","0,0430815338984",10
"-0,985768026994","2,5945997873514","-0,564163097438","0,4793641851226","-0,599536471102","0,2580586485034","-0,178282153822",11
"-2,652026019445","2,4961932034126","-0,0129908635","-0,704404664819","-0,394452755285","-0,295923897034","-0,043828466828",10
"-1,445235620042","2,718779730685","0,1385312259744","0,1055982051134","0,4610197097266","0,510035324366","0,5928298172977",11
"-1,031916505897","2,5183261745726","-0,636263418782","0,7764343434241","-0,686480013527","0,3973673516576","-0,349280637438",11
"-2,95306762537","2,4820426902501","0,0647479325069","-0,818462171746","-0,371784182167","-0,378183347343","-0,09275421824",10
"-2,627571655659","2,4972857296448","-0,09507243439","-0,513515393757","-0,454374946532","-0,172918458722","-0,150230362565",10
"-1,847634659113","2,5602206407246","-0,244524194283","-0,33782598311","-0,428863953078","-0,151068877506","0,2201866432196",10
"0,438482750988","2,7831698206861","-0,758049896349","0,7266209644749","-0,492392391167","0,1033326117363","0,5727538245116",11
"0,2893184616216","2,7669191203907","-0,727440680785","0,9321502812192","-0,490528292527","0,0791034195922","0,1090854051537",11
"0,6761715408301","2,8772208507756","-0,802709659342","0,718184926965","-0,450900623179","0,0655225546607","0,6733631606355",11
