Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Cluster
"-12,11238045769","-1,561430361859","10,132806012347","-1,318771689306","-0,86340648489","-0,553244284472","1,0499633465883",1
"-7,452866081023","2,1799556826115","6,2033601012033","-1,582883570052","0,3029451916682","4,1464370548846","0,0814867589034",2
"-3,215540241262","2,7595338384362","-0,438866060863","-2,020221866913","1,6452285721527","-0,634737313034","-1,687253553632",3
"-4,173332515265","2,0147046149155","0,2290312096479","-2,429399536112","0,1308355484203","-0,090536120113","-0,907338058247",3
"-6,088949441721","-1,769337746377","-1,412544052794","-1,718887362692","0,7328443574039","-2,027827174427","0,0925863257408",4
"-4,185832253344","0,6445474447323","-1,424781200905","-2,100175937997","0,701131709222","-0,697126483967","-0,117371829545",4
"-3,309445907793","1,9188440750037","-1,692096862795","-2,293993167767","0,5813581261588","0,4362901964174","-0,782890109348",3
"-2,911387388066","2,351655772198","-1,562155870837","-2,389515355919","0,6372128725764","0,473874852884","-0,537905804379",3
"-2,127829368149","2,5839839674342","-0,770535504559","-1,403834755288","3,1875059528682","0,0164237111011","-0,993497576091",3
"-1,666447832086","2,207076663712","-0,500411399507","-0,898099480092","3,3181790301931","0,0799053539715","-2,02503608348",3
"-3,456388659231","-0,362364402108","-1,448034980248","-1,640035054921","0,533438009735","-0,280695405618","-0,383317418396",4
"-4,039313386689","-1,087939049213","-1,519497456781","-1,503286833122","0,5626892313272","-0,604015559832","-0,296833733601",4
"-4,872176621444","-2,187701712278","-1,513645011337","-1,304589287557","0,5901853440052","-1,256056357518","-0,06723285237",4
"-3,99258166621","-1,004087601095","-1,357036210453","-1,461483407227","0,5387614759001","-0,837788018704","-0,21780642815",4
"-2,229877497044","1,3347152910481","-1,346393496284","-1,878953080011","0,4684316284729","0,5035907592031","-0,698336374716",3
"-1,630931665454","2,0961948149005","-1,073330987511","-1,97822664134","0,6160219115914","0,3769790838465","0,0279088585599",3
"-1,677140338012","1,9503943935876","-1,061011497363","-1,979457958121","0,6037970001729","0,3453237779664","-0,06929822631",3
"-1,533404535189","2,0190379996678","-0,898408850657","-2,027999805233","0,764214712604","0,0738005268155","0,5848293448814",3
"-1,397169146111","2,1245614477512","-0,896117090901","-2,098497632946","0,9000033612761","0,0849251788043","1,04439422513",3
"-1,320783625802","2,2512730655836","-0,762715910844","-2,061604300319","0,8440652565622","-0,03504245825","0,873465952661",3
"-1,552048474004","2,0927220558882","-0,881064939723","-2,00577161378","0,7902363931663","-0,001083921138","0,7453111083351",3
"-1,334088222725","2,1368442443046","-0,76157451428","-2,120663312539","1,0462623568833","-0,185289721232","1,6086950230253",3
"-1,483127181176","2,051669390511","-0,73157627741","-2,025224660806","0,8564705521121","-0,235581639042","1,029239164314",3
"-1,564908321707","1,9500609924189","-0,790555188387","-2,010387757892","0,80298214409","-0,157862056216","0,7924887493387",3
"-1,37600531577","2,1722483220751","-0,704832553545","-2,049016637257","0,8734043499089","-0,209434744009","1,0896622079514",3
"-1,713432634903","1,877385917295","-0,924967869183","-1,981501512142","0,8062315793207","-0,045058281157","0,7210160878479",3
"-2,026657159464","4,5390191955686","3,3708011341326","-2,187031456091","-0,590968123393","-4,534276052312","-0,846706999067",5
"-1,596485830956","1,9977167615394","-0,81725909405","-2,022975330587","0,8426442869766","-0,164700054523","0,9403153857557",3
"-1,762646611773","1,8290015086075","-0,907285501817","-1,984094928706","0,7624616929301","-0,086351569289","0,621583374531",3
"-1,840373950354","1,7505516330412","-0,849948468798","-1,927530637096","0,654223633053","-0,168555028259","0,2772187752109",3
"-1,889134913796","1,6435694592948","-0,943072886946","-1,982005803486","0,850689472756","-0,166560269416","0,8569915258001",3
"-1,848707775683","1,68746052945","-0,924658072479","-2,004468674833","0,9113331952474","-0,213579214131","1,1169676972662",3
"2,8172400244645","-0,641329251212","2,5136462439184","2,3271284015986","10,969209988521","-0,831382981797","-2,880920066456",13
"2,3137476073263","-1,206358568371","0,848153809069","-0,883636582384","-0,007895834834","-0,009656820251","0,0534735309404",14
"2,4924948394438","-0,900714902278","0,9476756855241","-0,878987665581","-0,06211728447","0,000071358693","-0,075404269595",14
"2,4146728316202","-1,123945469424","0,8983275296111","-0,931189718248","0,1616552245022","-0,103434999111","0,5451951280444",14
"2,4904921692865","-1,021545527922","0,9279504613114","-0,934689626608","0,0810286022839","-0,059056994459","0,353333979724",14
"2,4560449886689","-1,115343160725","0,8925807231965","-0,958992806947","0,1309284929731","-0,059542359483","0,5185920096023",14
"2,6177394438805","-0,840352733692","0,9999685415867","-0,950138110024","0,1165002011263","-0,118085668757","0,5556467322657",14
"2,7856055608217","-0,633380239721","1,2220417663859","-1,015112897569","0,195334448739","-0,357692547799","0,9536714435396",14
"2,4613997871833","0,0265649427206","2,2477507444333","-0,975928000343","-0,300253558337","-1,331088358775","0,0188073299638",14
"2,5201532603586","-0,692133234695","0,979965903041","-0,885748750688","-0,010536431287","-0,057559050393","0,0172234204793",14
"2,2635251864198","-1,280694949294","0,8654195121525","-0,962394155963","0,1796156479822","-0,182413114568","0,6499170665926",14
"0,5255305156139","-4,661827481733","0,4785392746008","-1,070835038329","0,926469353822","-1,233593934529","2,7897724416151",15
"1,0061609562363","-3,987318632668","0,6756177355693","-1,141292820847","1,0736826126275","-1,314718120899","3,4412785997197",15
"1,8676307607579","-1,77900625184","0,7700820687898","-0,891505780995","0,1511197167569","-0,302700980675","0,529818716572",14
"1,6414204648207","-1,826992486206","1,0499982852934","-0,84094960807","0,012926428889","-0,632664362417","0,1072308103705",14
